name,model,url
Lifestyle Soundtouch 525 Entertainment System,740958,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-soundtouch-525-entertainment-system.html
Lifestyle 38 Series 4 DVD Home Entertainment System,314478,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls38_series4.html
Lifestyle 38 Series 3 DVD Home Entertainment System,289327,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls38_series3.html
Lifestyle 38 DVD Home Entertainment System,274398,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls38_series1.html
Lifestyle 35 Series 4 DVD Home Entertainment System,305449,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls35_series4.html
Lifestyle 35 Series 3 DVD Home Entertainment System,289324,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls35_series3.html
Lifestyle 28 Series 3 DVD Home Entertainment System,289324,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls28_series3.html
Lifestyle 28 Series 2 System,286874,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls28_series2.html#v=ls28_series2_black
Lifestyle 28 DVD Home Entertainment System,259777,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls28_series1.html#v=ls28_series1_black
Lifestyle 18 Series 3 DVD Home Entertainment System,289324,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls18_series3.html#v=ls18_series3_black
Lifestyle 18 Series 2 DVD Home Entertainment System,274398,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls18_series2.html#v=ls18_series2_black
Lifestyle 18 DVD Home Entertainment System,269711,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls18_series1.html#v=ls18_series1_black
Lifestyle 50 System,189854,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls50.html#v=ls50_black
Lifestyle 30 Series 2 System,199736,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls30_series2.html#v=ls30_series2_black
Lifestyle 25 Series 2 System,196575,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls25_series2.html#v=ls25_series2_black
Lifestyle 25 System,187718,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls25_series1.html#v=ls25_series1_black
Lifestyle 12 Series 2 System,196573,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls12_series2.html#v=ls12_series2_black
Lifestyle 12 System,191409,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls12_series1.html#v=ls12_series1_black
Lifestyle 8 Series 2 System,252876,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls8_series2.html#v=ls8_series2_black
Lifestyle 8 System,189876,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls8_series1.html#v=ls8_series1_black
Lifestyle 900 System,197749,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls900.html#v=ls900_black
Lifestyle 800 System,255212,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls800.html#v=ls800_black
Acoustimass 16 Series 2,293692,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am16_series2.html#v=am16_series2_black
Acoustimass 16 Home Entertainment Speaker System,264924,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am16_series1.html#v=am16_series1_black
Acoustimass 15 Series 2 Home Entertainment Speaker System,264924,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am15_series2.html#v=am15_series2_black
Acoustimass 15 Home Theater Speaker System,194452,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am15_series1.html#v=am15_series1_black
Acoustimass 10 Series 4 Home Entertainment Speaker System,294330,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am10_series4.html#v=am10_series4_black
Acoustimass 10 Series 3 Home Theater Speaker System,264887,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am10_series3.html#v=am10_series3_black
Acoustimass 10 Series 2 Home Theater Speaker System,194646,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am10_series2.html#v=am10_series2_black
Acoustimass 10 Home Theater Speaker System,183644,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am10_series1.html#v=am10_series1_black
Acoustimass 6 Series 3 Home Entertainment Speaker System,264887,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am6_series3.html#v=am6_series3_black
Acoustimass 6 Series 2 Home Theater Speaker System,252172,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am6_series2.html#v=am6_series2_black
Acoustimass 6 Home Theater Speaker System,189815,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am6_series1.html#v=am6_series1_black
Acoustimass 700 Home Theater Speaker System,197898,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am700.html#v=am700_black
Acoustimass 600 Home Theater Speaker System,missing in manual,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am600.html#v=am600_black
Acoustimass HT Home Theater Speaker Package,manual N/A,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/am_ht.html#v=am_ht_black
Acoustimass 10 Series 5 Home Theater Speaker System,717617,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/acoustimass-10-speaker-system.html#v=am10_v_black
Acoustimass 6 Series 5 Home Theater Speaker System,717625,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/acoustimass-6-speaker-system.html#v=am6_v_black
Cinemate 520 Home Theater System,732019,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/cinemate-520-home-theater-system.html#v=cinemate_520_black
Soundtouch 520 Home Theater System,740967,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/soundtouch-520-home-theater-system.html#v=soundtouch_520_black
Lifestyle V35 Home Entertainment System,324443,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lsv35.html#v=lsv35_black
Lifestyle 535 Series 2 Home entertainment System,372663,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-535-series-iii-home-entertainment-system.html#v=ls535_iii_black
SoundControl Hearing Aids,862367,https://www.bose.com/en_us/support/products/bose_wellness_support/soundcontrol-hearing-aids.html#v=soundcontrol_hearing_aids_gray
Noise-Masking Sleepbuds,803889,https://www.bose.com/en_us/support/products/bose_wellness_support/noise-masking-sleepbuds.html#v=noise_masking_sleepbuds_silver
Hearphones,780985,https://www.bose.com/en_us/support/products/bose_wellness_support/hearphones.html#v=hearphones_black
Sleepbuds 2,842815,https://www.bose.com/en_us/support/products/bose_wellness_support/noise-masking-sleepbuds-ii.html#v=noise_masking_sleepbuds_ii_white
Noise cancelling Headphones 700,827452,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/noise-cancelling-headphones-700.html#v=noise_cancelling_headphones_700_black
QuietComfort 35 Wireless Headphones 1,767952,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/quietcomfort-35-wireless.html#v=qc35_black
QuietComfort 35 Wireless Headphones 2,811772,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/quietcomfort-35-wireless-ii.html#v=qc35_ii_silver
QuietComfort 2 Acoustic Noise Cancelling Headphones,315508,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/qc2.html#v=qc2_silver
AE2 Audio Headphones,329539,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/ae2_headphones.html#v=ae2_headphones_black
SoundTrue around-ear Headphones 2 Apple Devices,746182,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundtrue-around-ear-headphones-ii-apple-devices.html#v=soundtrue_ae_headphones_ii_apple_charcoal_black
SoundLink Around-ear Bluetooth Headphones,735822,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundlink-around-ear-bluetooth-headphones.html#v=ae2w_headphones_black
Quietcomfort Acoustic Noise Cancelling Headphones,254864,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/qc.html#v=qc_champ
AE2i Audio Headphones,346022,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/ae2i_headphones.html#v=ae2i_headphones_black
OE2 Audio Headphones,346799,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/oe2_headphones.html#v=oe2_headphones_black
OE2i Audio Headphones,346800,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/oe2i_headphones.html#v=oe2i_headphones_black
OE Audio Headphones,294496,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/oe_headphones.html
SoundTrue On-ear Headphones,714524,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundtrue-on-ear-headphones.html
On-ear Headphones,727763,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/mobile_oe_headset_v2.html
Mobile On-Ear Headset,319137,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/mobile_oe_headset.html
QuietComfort 25 Acoustic Noise Canelling Headphones Apple Devices,724152,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/quietcomfort-25-acoustic-noise-cancelling-headphones-apple-devices.html
SoundLink On-ear Bluetooth Headphones,739826,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundlink-on-ear-bluetooth-headphones.html
SoundTrue Around-ear Headphones,714531,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundtrue_ae_headphones.html
QuietComfort 25 Acoustic Noise Cancelling Headphones Samsung and Android Devices,742963,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/quietcomfort-25-acoustic-noise-cancelling-headphones-samsung-and-android-devices.html
SoundLink Around-ear Wireless Headphones 2,781391,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundlink-around-ear-wireless-headphones-ii.html
SoundTrue Around-ear Headphones 2 Samsung and Android Devices,746183,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundtrue-around-ear-headphones-samsung-devices.html
QuietComfort 3 Acoustic Noise Cancelling Headphones,324019,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/qc3.html
QuietComfort 15 Acoustic Noise Cancelling Headphones,345875,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/qc15.html
On-ear Wireless Headphones,791879,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/bose_oe_wireless_headphones.html
BOSEBuild Headphones,423376,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/bosebuild-headphones.html
SoundComm B40 Headset,826112,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/soundcomm-b40-headset.html
Noise Cancelling Headphones 700 UC,858221,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/noise-cancelling-headphones-700-conferencing.html
QuietComfort 35 2 Gaming Headset,860202,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_around_ear_headphones_support/quietcomfort-35-gaming-headset.html
Sport Open Earbuds,869286,https://www.bose.com/en_us/support/products/bose_headphones_support/bose_in_ear_headphones_support/sport-open-earbuds.html
